iter	Logloss
0	0.6863438928
1	0.6800056973
2	0.6743897971
3	0.6698459911
4	0.6649624527
5	0.6608327627
6	0.6568280544
7	0.6534543872
8	0.6506504243
9	0.647583495
10	0.6448904224
11	0.6427529176
12	0.6405073874
13	0.6384527687
14	0.6365182265
15	0.6348242262
16	0.6333492553
17	0.6320437122
18	0.630593705
19	0.6293968667
20	0.6279878248
21	0.6262801893
22	0.6247271743
23	0.6237588175
24	0.6225982428
25	0.6214799742
26	0.6200682375
27	0.6188073171
28	0.6179181442
29	0.6170147582
30	0.6160842988
31	0.6152068975
32	0.6142829437
33	0.6126146144
34	0.6115201224
35	0.6106040487
36	0.6100931026
37	0.6094091375
38	0.6086296248
39	0.6076452703
40	0.6070189654
41	0.6062733379
42	0.6051973207
43	0.6045027044
44	0.6038891304
45	0.6034909693
46	0.6022121152
47	0.6013683883
48	0.6006255046
49	0.6001422924
50	0.599290127
51	0.5984771728
52	0.5980782465
53	0.5977030194
54	0.5971966854
55	0.5965118772
56	0.5956203068
57	0.5951739013
58	0.5946646026
59	0.5940456829
60	0.5935661819
61	0.5932937004
62	0.5926615953
63	0.5922052371
64	0.5915974176
65	0.5907338224
66	0.5902200132
67	0.5896895848
68	0.5892258707
69	0.5885556756
70	0.5879204263
71	0.5874244169
72	0.5865164847
73	0.586282451
74	0.5854925527
75	0.5849140188
76	0.5839944375
77	0.5835473773
78	0.58310352
79	0.5828622694
80	0.5820998693
81	0.5814595879
82	0.5810129627
83	0.5806388405
84	0.5800326613
85	0.5792998193
86	0.5788815464
87	0.5783131668
88	0.5778927222
89	0.5775299827
90	0.577366541
91	0.5767772111
92	0.576481264
93	0.5757994312
94	0.574951001
95	0.5744665835
96	0.5738790318
97	0.5733323631
98	0.5728675445
99	0.5721564796
100	0.571656379
101	0.5713425476
102	0.5708245201
103	0.5704157356
104	0.5697819264
105	0.5694712974
106	0.5690856421
107	0.5686395955
108	0.5679112278
109	0.5673081048
110	0.5669413681
111	0.5662538667
112	0.5658249721
113	0.5654937445
114	0.5648063171
115	0.5643598632
116	0.5640747324
117	0.5637081033
118	0.5632167319
119	0.5622025036
120	0.5617499116
121	0.5611233998
122	0.5607205873
123	0.5603221193
124	0.5598886339
125	0.5596787967
126	0.5588015256
127	0.5585127032
128	0.5585038733
129	0.5582095645
130	0.5575465149
131	0.5570021889
132	0.5564999236
133	0.5558152656
134	0.5554320415
135	0.555105149
136	0.5548331092
137	0.5545106204
138	0.55411986
139	0.5537065854
140	0.553271427
141	0.5528358228
142	0.5523500974
143	0.5514955229
144	0.5511479694
145	0.550897808
146	0.550583201
147	0.5501856654
148	0.5498133829
149	0.5495327822
150	0.5492328732
151	0.548534623
152	0.5481913348
153	0.5477993586
154	0.5473310539
155	0.5468650247
156	0.5463961066
157	0.5461205847
158	0.5454863015
159	0.5448789091
160	0.5447230006
161	0.5438035547
162	0.543430123
163	0.5431875705
164	0.5425067983
165	0.5422577379
166	0.5419291454
167	0.5415152449
168	0.5410228889
169	0.5407648494
170	0.5407433763
171	0.5402088453
172	0.5399382858
173	0.5396432028
174	0.5391829765
175	0.5389584907
176	0.5385262831
177	0.5380516487
178	0.5376156461
179	0.5368723796
180	0.536482227
181	0.5361232116
182	0.5358696715
183	0.5354468346
184	0.5349649946
185	0.5347922355
186	0.534538605
187	0.5342165536
188	0.5339856788
189	0.5337463058
190	0.5331482718
191	0.5328534151
192	0.5325079652
193	0.5321297954
194	0.5315183448
195	0.5310554635
196	0.530817824
197	0.5305318641
198	0.5296463722
199	0.529248248
200	0.5288992958
201	0.5286447019
202	0.5281585662
203	0.5277608376
204	0.5276791431
205	0.5271048303
206	0.526752359
207	0.5262598556
208	0.5258969836
209	0.5255479896
210	0.5251855545
211	0.5245544104
212	0.5240195496
213	0.5237031086
214	0.5233733875
215	0.523038214
216	0.5225210652
217	0.5223503001
218	0.5220644101
219	0.5213451666
220	0.5210991803
221	0.5209084683
222	0.5206825402
223	0.520231049
224	0.5197682105
225	0.5195487496
226	0.5187532483
227	0.5185447877
228	0.5184009385
229	0.5182648757
230	0.5178924292
231	0.5173999569
232	0.5168610808
233	0.5164878852
234	0.5161383996
235	0.5156656691
236	0.5153625944
237	0.5148919588
238	0.5144576787
239	0.51413969
240	0.5138002884
241	0.5134847633
242	0.5131718191
243	0.5128017166
244	0.5126709201
245	0.5123889548
246	0.5121526201
247	0.5115190513
248	0.5112823722
249	0.5109512499
250	0.5106209802
251	0.5101304353
252	0.5097561899
253	0.5094293811
254	0.5091070279
255	0.5088830031
256	0.5083778402
257	0.508196125
258	0.5076377148
259	0.5073741823
260	0.5070747878
261	0.5063595987
262	0.506123343
263	0.5056805334
264	0.5055821244
265	0.5051987571
266	0.5049185509
267	0.5046346258
268	0.5040633159
269	0.5038401135
270	0.5031029389
271	0.5027853546
272	0.5025628681
273	0.5021262458
274	0.5016931934
275	0.5014947851
276	0.5006304944
277	0.500352432
278	0.500087808
279	0.4997476236
280	0.4993808637
281	0.4988370376
282	0.4984291516
283	0.4979553341
284	0.4974533574
285	0.496732319
286	0.4963614647
287	0.4963139168
288	0.4958364721
289	0.4954305659
290	0.4952368601
291	0.4949154114
292	0.4941621955
293	0.4939369678
294	0.4936301884
295	0.493207593
296	0.4925418426
297	0.4917607912
298	0.4916147333
299	0.4911369473
